epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,227.238,1.79953,6.01803,0.00993,0.30303,0.15607,0.16127,0.08623,1.61889,1.99804,0.01193,0.00998876,0.00332959,0.00998876,0.00332959,0.00998876,0.00332959,0.00998876,0.00332959
2,398.348,1.65875,2.30673,0.00873,0.57109,0.16216,0.222,0.11558,1.66942,1.69007,0.01191,0.0197909,0.00659696,0.0197909,0.00659696,0.0197909,0.00659696,0.0197909,0.00659696
3,549.258,1.72015,1.90941,0.00903,0.415,0.19553,0.19588,0.08785,1.741,1.71216,0.01314,0.029395,0.00979833,0.029395,0.00979833,0.029395,0.00979833,0.029395,0.00979833
4,686.34,1.77231,1.83416,0.0095,0.44084,0.23716,0.2309,0.11376,1.69834,1.55099,0.01231,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,825.441,1.74173,1.71861,0.0092,0.38576,0.21807,0.22516,0.10677,1.6971,1.50278,0.01241,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,968.767,1.7284,1.64423,0.0091,0.71446,0.20278,0.22009,0.11307,1.71343,1.67182,0.01287,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1115.96,1.69796,1.56569,0.00893,0.63666,0.24697,0.267,0.13979,1.62365,1.38122,0.01158,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1251.99,1.67364,1.55764,0.00872,0.60284,0.25269,0.27168,0.14487,1.65245,1.33645,0.01174,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1391.04,1.67679,1.5029,0.00873,0.54524,0.26718,0.27971,0.1446,1.62093,1.25715,0.01155,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1527.05,1.66956,1.4496,0.0087,0.57903,0.29802,0.31416,0.16426,1.62018,1.15775,0.01155,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1666.04,1.65698,1.41457,0.00861,0.74442,0.23611,0.28363,0.14316,1.63704,1.29657,0.01182,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1803.74,1.64913,1.37417,0.00854,0.69936,0.27547,0.32646,0.16778,1.5742,1.14757,0.0112,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1934.94,1.65412,1.37041,0.00853,0.60144,0.36282,0.36142,0.18924,1.57453,1.12458,0.01118,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2077.07,1.62046,1.359,0.00836,0.45072,0.31891,0.3197,0.17183,1.59369,1.13721,0.01133,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2216.66,1.62483,1.33603,0.00839,0.68503,0.3647,0.32599,0.17332,1.55563,1.18073,0.01119,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2359.86,1.62663,1.31074,0.00837,0.81783,0.32521,0.34283,0.17974,1.57436,1.05768,0.01118,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2496.21,1.61327,1.29404,0.00829,0.75606,0.33064,0.35796,0.19314,1.56947,1.04382,0.01113,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2638.7,1.60171,1.29113,0.00815,0.60785,0.34815,0.34571,0.18507,1.53922,1.06589,0.01082,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2782.63,1.59735,1.31248,0.00834,0.52073,0.38039,0.37793,0.20198,1.53825,1.04324,0.0109,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2928.91,1.59635,1.26937,0.0082,0.52223,0.35489,0.35916,0.19415,1.54292,1.03769,0.01088,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3063.29,1.5859,1.25236,0.00813,0.6462,0.33859,0.34495,0.19567,1.53662,1.07925,0.01066,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3200.9,1.58812,1.23437,0.00815,0.54966,0.38109,0.37409,0.20788,1.51426,0.99166,0.01057,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3341.85,1.58886,1.21415,0.00816,0.62834,0.37534,0.394,0.2236,1.52274,0.96861,0.0106,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3486.93,1.57526,1.20108,0.00813,0.62581,0.40474,0.39506,0.2224,1.52341,0.98444,0.01068,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3624.96,1.57079,1.19605,0.00816,0.75263,0.38996,0.40319,0.22997,1.53048,1.01308,0.0107,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3771.33,1.57368,1.17266,0.00808,0.7548,0.39643,0.40604,0.23346,1.51164,0.96553,0.01062,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3912.94,1.56658,1.16593,0.00806,0.68911,0.40774,0.411,0.2367,1.5108,0.95979,0.01057,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4043.23,1.56643,1.14232,0.00802,0.66485,0.42329,0.41935,0.24064,1.50828,0.93968,0.01061,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4182.33,1.5566,1.15177,0.00799,0.56848,0.41457,0.40268,0.23225,1.50657,0.9357,0.01051,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4321.68,1.55054,1.1604,0.00797,0.69599,0.41696,0.40716,0.23445,1.49434,0.95902,0.01046,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4461.63,1.5573,1.13994,0.00796,0.74561,0.38521,0.4046,0.23625,1.49096,0.93403,0.01045,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4602.43,1.55428,1.12294,0.00795,0.70833,0.40528,0.3997,0.23568,1.48713,0.92496,0.01033,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4741.5,1.55384,1.11917,0.00793,0.65899,0.40141,0.39543,0.22988,1.51306,0.91416,0.0106,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4884.39,1.53753,1.10596,0.00784,0.66132,0.40406,0.40716,0.23567,1.48723,0.91461,0.01036,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5026.37,1.53528,1.09903,0.00783,0.69445,0.38529,0.40891,0.24224,1.50194,0.91443,0.0104,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5161.23,1.51986,1.11374,0.00778,0.60801,0.39011,0.40619,0.24063,1.48591,0.90852,0.01034,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5297.89,1.52396,1.08092,0.00775,0.732,0.42028,0.42993,0.25523,1.49298,0.89801,0.01035,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5434.62,1.52522,1.08257,0.00783,0.71108,0.41606,0.43453,0.25713,1.4756,0.90097,0.01027,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5567.32,1.524,1.06857,0.00776,0.70137,0.42493,0.42561,0.25615,1.48646,0.88822,0.01033,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5711.16,1.51756,1.05415,0.00765,0.70552,0.39145,0.4273,0.25061,1.4775,0.90184,0.01028,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5845.46,1.50676,1.05723,0.0077,0.69906,0.42125,0.42643,0.25803,1.47234,0.90455,0.01018,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6004.37,1.50996,1.04896,0.00777,0.70109,0.42474,0.43301,0.26029,1.47838,0.89151,0.01021,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6158.31,1.50735,1.05916,0.00765,0.75856,0.44098,0.43979,0.25987,1.47253,0.89622,0.01023,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
