epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3595.93,1.43443,1.03074,1.29642,0.6861,0.42974,0.4268,0.25354,1.42854,0.91943,1.34743,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3702.7,1.43353,1.02955,1.29776,0.71531,0.45614,0.45504,0.26254,1.42569,0.92901,1.35217,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3804.25,1.42554,1.02618,1.29334,0.71468,0.45637,0.45792,0.26249,1.41984,0.91527,1.34959,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3903.65,1.4265,1.01986,1.28828,0.68114,0.44649,0.43519,0.26123,1.42388,0.91106,1.34237,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4010.79,1.41902,1.00997,1.28542,0.67839,0.44979,0.4428,0.26454,1.42282,0.90955,1.34683,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4120.07,1.41445,1.00357,1.28874,0.64782,0.44633,0.44468,0.26375,1.42284,0.90568,1.35691,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4224.68,1.41295,0.99782,1.28895,0.69751,0.44087,0.45367,0.27486,1.41961,0.90278,1.356,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4328.29,1.41473,0.99293,1.2857,0.6757,0.44585,0.44469,0.27095,1.42266,0.8911,1.35214,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4439.45,1.40419,0.98053,1.2807,0.68175,0.46297,0.45799,0.27376,1.4247,0.89487,1.3584,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4547.11,1.40421,0.97729,1.29047,0.69394,0.4628,0.45638,0.27277,1.42352,0.89064,1.36148,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4656.6,1.40568,0.97856,1.28637,0.54103,0.46,0.45197,0.27239,1.42082,0.8905,1.35701,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4770.2,1.39839,0.97187,1.28108,0.69345,0.44334,0.44401,0.2702,1.42038,0.87909,1.35738,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4879.3,1.39584,0.96654,1.27093,0.68313,0.43923,0.45034,0.27238,1.41821,0.87947,1.34806,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
